"","Date","Tweets.published","impressions","engagements","taux.d‚..engagement","Retweets","r√.ponses","J.aime","clics.sur.le.profil.de.l.utilisateur","clics.sur.l.URL","clics.sur.le.hashtag","ouvertures.des.d√.tails","clics.sur.le.permalien","ouvertures.d.application","installations.de.l.application","abonnements.","envoyer.le.Tweet.par.email","composer.le.num√.ro","vues.du.m√.dia","engagements.avec.le.m√.dia","impressions.sponsoris√.","engagements.sponsoris√.","taux.d‚..engagement.sponsoris√.","Retweets.sponsoris√.","r√.ponses.sponsoris√.","J.aime.sponsoris√.","clics.sur.le.profil.de.l.utilisateur.sponsoris√.","clics.sur.l.URL.sponsoris√.","clics.sur.le.hashtag.sponsoris√.","ouvertures.des.d√.tails.sponsoris√.","clics.sur.le.permalien.sponsoris√.","ouvertures.d.application.sponsoris√.","installations.de.l.application.sponsoris√.","abonnements..sponsoris√.","envoyer.le.Tweet.par.email.sponsoris√.","composer.le.num√.ro.sponsoris√.","vues.du.m√.dia.sponsoris√.","engagements.avec.le.m√.dia.sponsoris√."
"52","2020-11-21",0,123,8,0.0650406504065041,0,0,1,0,0,0,2,0,0,0,0,0,0,5,5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"53","2020-11-22",0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"54","2020-11-23",0,64,5,0.078125,0,0,1,0,0,0,1,0,0,0,0,0,0,5,3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"55","2020-11-24",1,428,20,0.0467289719626168,0,0,0,0,2,0,11,0,0,0,0,0,0,18,7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"56","2020-11-25",1,374,9,0.0240641711229947,2,0,2,0,0,0,5,0,0,0,0,0,0,4,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"57","2020-11-26",0,333,2,0.00600600600600601,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"58","2020-11-27",0,227,15,0.066079295154185,0,0,0,0,0,0,4,0,0,0,0,0,0,11,11,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"59","2020-11-28",0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"60","2020-11-29",0,141,1,0.00709219858156028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"61","2020-11-30",0,281,2,0.00711743772241993,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
